Speaker,Dialogue
catherine,Thanks for the horse.
edward,You liked him?
catherine,He's beautiful...
edward, 's broken.
catherine, Who says?
edward,Mocky-Lock.
catherine,Oh no... No you don't.
edward,"""Mocky-Lock is the bogeyman.  Mocky-Lock wants me where I am."""
catherine,I bet we can fix it.
miriam,Sing a song of sixpence...
catherine, A pocketful of rye...
catherine,Baked in a pie...
henry,"""Mister E."" is doing fine."
miriam,Did we go sailing?
catherine,Almost.  Mocky-Lock showed up.
miriam,"""Mocky-Lock is the bogeyman, Mocky-Lock wants me where I am."""
catherine,Mocky-Lock is a pain in the ass.
henry,Where did that come from again?
catherine,A nursery rhyme.
miriam," Nursery rhymes, fairy tales, the bogeyman... All preparation for the horrors of the real world."
henry,Anybody hungry?  I'm hungry...
cooperman,Edward's parents are here.
ella,He needs a haircut.
catherine,"I'll tell the nurse.  God, he loves when you visit."
ella,My husband wonders if that's true.  He wants to place Edward in a hospital.
henry,"There are other applications for the scanner, Mr. Baines..."
lucien,"I realize that, Henry...  And I know your work, Dr. Kent, is invaluable to this company..."
catherine,"You don't know about me, though, do you?"
lucien,"Catherine, we've waited eighteen months for signs of progress..."
catherine,There's been progress.
lucien,"Yes, but there is no proof the procedure works.  All I have is a belief that your interaction with my son is not a hallucination."
catherine," You picked me, remember?  And I took the job.  Gladly.  This is the next wave and I want to be part of it..."
cooperman,No one is doubting your ability.
catherine,Then what is it?
lucien,"I've invested millions of dollars in this study... And I've convinced others to do the same.  I suppose I should feel responsible to them, but I don't.  I could care less if they see a profit. I'm responsible to my boy, that's all that matters.  You tell me... Am I doing the right thing?"
anne,Thirty.
miriam,You okay?
catherine,He hates me.
miriam,Lucien Baines?
catherine,She thinks I can bring Edward back.
miriam,Someday you can.  We all believe that...
catherine,I want to try it.  Please.
miriam,We've been over this a dozen times.  No.
catherine,Why not?  Just once.  A trial run.  What harm could it do?
miriam,I don't want to find out.
catherine,"Why is it taking so long for us to reach him?  Because we've been reactive, that's why.  And we need to be active."
miriam,Shush.
catherine,"He creates the obstacles, he decides which games to play."
miriam,I've heard this argument before.  It's not happening.
catherine, It could take years for me to get past the barriers he's created.
